word,index
.,1
하다,2
톰,3
은,4
이,5
있다,6
을,7
?,8
는,9
가,10
에,11
를,12
것,13
나,14
난,15
그,16
내,17
않다,18
의,19
말,20
사람,21
없다,22
수,23
네,24
야,25
우리,26
너,27
들,28
이야,29
보다,30
같다,31
적,32
싶다,33
메리,34
한테,35
에서,36
로,37
안,38
도,39
고,40
좋다,41
프랑스어,42
생각,43
이다,44
!,45
",",46
좋아하다,47
걸,48
가다,49
거야,50
더,51
알,52
오다,53
거,54
모르다,55
알다,56
게,57
되다,58
하고,59
에게,60
좀,61
일,62
으로,63
배우다,64
해,65
다,66
너무,67
못,68
여기,69
자다,70
줄,71
아니다,72
왜,73
우린,74
모두,75
인,76
들다,77
정말,78
이건,79
날,80
먹다,81
어떻다,82
돼다,83
주다,84
보이다,85
과,86
고양이,87
그걸,88
아무,89
집,90
가장,91
한,92
아,93
공부,94
자기,95
와,96
시간,97
살,98
건,99
때,100
넌,101
되어다,102
거기,103
아주,104
많다,105
해주다,106
그녀,107
누구,108
계속,109
거짓말,110
뭐,111
미안하다,112
책,113
받다,114
그것,115
아직도,116
도와주다,117
학교,118
그렇게,119
웃다,120
죽다,121
믿다,122
서,123
저,124
그건,125
같이,126
법,127
얼마나,128
말다,129
이랑,130
보스턴,131
떠나다,132
읽다,133
뭔가,134
많이,135
아직,136
친구,137
라고,138
타다,139
사실,140
마,141
치다,142
노래,143
언어,144
가지,145
오늘,146
전,147
랑,148
시작,149
해보다,150
중독,151
갈다,152
무슨,153
어디,154
누가,155
지금,156
혼자,157
크다,158
인간,159
쓰다,160
돈,161
물,162
당신,163
걸리다,164
몇,165
이상,166
중,167
호주,168
기다리다,169
그렇다,170
개,171
그만,172
과학,173
보내다,174
라는,175
그게,176
앉다,177
눈,178
운전,179
원하다,180
내일,181
꿈,182
진짜,183
만,184
모든,185
처럼,186
만나다,187
선생님,188
수영,189
에는,190
번,191
대해,192
자,193
꽤,194
나이,195
두다,196
사랑,197
문제,198
자신,199
남자,200
제,201
어제,202
이렇다,203
일어나다,204
안다,205
어리다,206
사다,207
어렵다,208
방,209
언제,210
만큼,211
일이,212
써다,213
누군가,214
괜찮다,215
기억,216
이제,217
싫다,218
이해,219
줄다,220
외로워,221
찾다,222
마리,223
애,224
결혼,225
바로,226
명,227
세,228
한번,229
생일,230
절대,231
잘,232
늦다,233
울다,234
얘기,235
바쁘다,236
질문,237
거미,238
비다,239
빌리다,240
널,241
위해,242
