word,index
은,1
톰,2
이,3
을,4
는,5
에,6
를,7
가,8
그,9
들,10
의,11
나,12
사람,13
내,14
하,15
한,16
우리,17
했어,18
난,19
것,20
있어,21
야,22
에서,23
로,24
네,25
너,26
이야,27
했다,28
다,29
해,30
말,31
생각,32
에게,33
메리,34
하고,35
한테,36
도,37
으로,38
프랑스어,39
적,40
와,41
같아,42
그것,43
더,44
없어,45
않아,46
과,47
이다,48
지,49
때,50
게,51
일,52
인,53
난톰,54
너무,55
있다,56
모두,57
당신,58
우린,59
그녀,60
아,61
시간,62
에는,63
서,64
안,65
많은,66
정말,67
저,68
아무,69
제,70
고양이,71
고,72
보다,73
여기,74
좀,75
공부,76
이건,77
왜,78
날,79
집,80
학교,81
그걸,82
위해,83
걸,84
책,85
어떤,86
못,87
그렇게,88
아주,89
자기,90
중,91
시작,92
자신,93
계속,94
모든,95
누구,96
봐,97
자,98
본적,99
법,100
잘,101
좋아해,102
라고,103
친구,104
장,105
할,106
뭐,107
좋은,108
이나,109
만,110
많이,111
알,112
돼,113
거짓말,114
대해,115
아직,116
사실,117
얼마나,118
거기,119
문제,120
않았어,121
꿈,122
에가,123
거,124
돈,125
언어,126
할수,127
있는,128
한번,129
이랑,130
기,131
때문,132
같은,133
방법,134
다른,135
같이,136
몇,137
아직도,138
보스턴,139
동안,140
대답,141
개,142
시,143
그건,144
약,145
처럼,146
년,147
선생님,148
들어,149
새,150
인간,151
남자,152
넌,153
아이,154
누가,155
입니다,156
무엇,157
뭔가,158
지금,159
매우,160
진짜,161
무슨,162
랑,163
노래,164
이상,165
그러나,166
그만,167
이해,168
않는다,169
결혼,170
중독,171
어디,172
곳,173
몰랐어,174
그게,175
컴퓨터,176
어떻게,177
수영,178
미안해,179
혼자,180
사용,181
과학,182
없다,183
바로,184
명,185
대,186
가지,187
해야,188
호주,189
된다,190
그리고,191
웃었어,192
알고있어,193
마리,194
않았다,195
노력,196
나이,197
영어,198
한다,199
프랑스,200
행동,201
해서,202
좋아하는,203
살,204
에서는,205
대부분,206
가장,207
여성,208
눈,209
얘기,210
누군가,211
빨리,212
배웠어,213
큰,214
꽤,215
있었다,216
학생,217
가가,218
일이,219
생일,220
열심히,221
사랑,222
좋아,223
요,224
질문,225
이유,226
이름,227
신,228
거의,229
없었어,230
뿐,231
물,232
오늘,233
전,234
여,235
필요,236
면,237
할거야,238
죽었어,239
분,240
머리,241
걱정,242
이네,243
없었다,244
려고,245
보여,246
예,247
세상,248
왔어,249
말해,250
운전,251
하나,252
니까,253
아니야,254
마음,255
자동차,256
어제,257
언제,258
여자,259
좋겠어,260
만큼,261
비해,262
니,263
했는데,264
까지,265
명의,266
되었다,267
또한,268
하지,269
자살,270
몰라,271
거미,272
애,273
기분,274
너희,275
된,276
선택,277
관심,278
한국,279
